Time,v_LO_control,v_LE_control,c_LO_measured,c_RE_measured
465,0.5,0.5,14.88,54.96
466,0.5,0.5,14.88,54.96
467,0.5,0.5,14.88,54.96
468,0.5,0.5,14.88,54.96
469,0.5,0.5,14.88,54.96
470,0.5,0.5,14.88,54.95
471,0.5,0.5,14.88,54.96
472,0.5,0.5,14.88,54.96
473,0.5,0.5,14.88,54.96
474,0.5,0.5,14.88,54.96
475,0.5,0.5,14.88,54.96
476,0.5,0.5,14.88,54.96
477,0.5,0.5,14.88,54.96
478,0.5,0.5,14.88,54.96
479,0.5,0.5,14.88,54.96
480,0.5,0.5,14.88,54.96
481,0.5,0.5,14.88,54.95
482,0.5,0.5,14.88,54.96
483,0.5,0.5,14.88,54.96
484,0.5,0.5,14.88,54.96
485,0.5,0.5,14.88,54.96
486,0.5,0.5,14.88,54.96
487,0.5,0.5,14.88,54.95
488,0.5,0.5,14.88,54.96
489,0.5,0.5,14.88,54.96
490,0.5,0.5,14.88,54.96
491,0.5,0.5,14.88,54.96
492,0.5,0.5,14.88,54.96
493,0.5,0.5,14.88,54.95
494,0.5,0.5,14.88,54.96
495,0.5,0.5,14.88,54.96
496,0.5,0.5,14.88,54.95
497,0.5,0.5,14.89,54.97
498,0.5,0.5,14.88,54.96
499,0.5,0.5,14.88,54.96
500,0.5,0.5,14.88,54.96
501,0.5,0.5,14.88,54.96
502,0.5,0.5,14.88,54.96
503,0.5,0.5,14.88,54.96
504,0.5,0.5,14.88,54.96
505,0.5,0.5,14.88,54.96
506,0.5,0.5,14.88,54.96
507,0.5,0.5,14.88,54.95
508,0.5,0.5,14.88,54.96
509,0.5,0.5,14.88,54.96
510,0.5,0.5,14.88,54.96
511,0.5,0.5,14.88,54.96
512,0.5,0.5,14.88,54.96
513,0.5,0.5,14.88,54.96
514,0.5,0.5,14.88,54.96
515,0.5,0.5,14.87,54.95
516,0.5,0.5,14.88,54.96
517,0.5,0.5,14.88,54.96
518,0.5,0.5,14.88,54.96
519,0.5,0.5,14.88,54.96
520,0.5,0.5,14.88,54.96
521,0.5,0.5,14.88,54.96
522,0.5,0.5,14.88,54.96
523,0.5,0.5,14.88,54.95
524,0.5,0.5,14.88,54.96
525,0.5,0.5,14.88,54.95
526,0.5,0.5,14.88,54.96
527,0.5,0.5,14.88,54.96
528,0.5,0.5,14.88,54.96
529,0.5,0.5,14.88,54.96
530,0.5,0.5,14.88,54.96
531,0.5,0.5,14.88,54.96
532,0.5,0.5,14.88,54.96
533,0.5,0.5,14.87,54.95
534,0.5,0.5,14.89,54.97
535,0.5,0.5,14.88,54.96
536,0.5,0.5,14.88,54.96
537,0.5,0.5,14.88,54.96
538,0.5,0.5,14.88,54.95
539,0.5,0.5,14.87,54.95
540,0.5,0.5,14.88,54.96
541,0.5,0.5,14.88,54.95
542,0.5,0.5,14.88,54.96
543,0.5,0.5,14.88,54.96
544,0.5,0.5,14.88,54.95
545,0.5,0.5,14.88,54.96
546,0.5,0.5,14.88,54.96
547,0.5,0.5,14.88,54.96
548,0.5,0.5,14.88,54.96
549,0.5,0.5,14.88,54.95
550,0.5,0.5,14.88,54.96
551,0.5,0.5,14.88,54.96
552,0.5,0.5,14.88,54.96
553,0.5,0.5,14.88,54.96
554,0.5,0.5,14.88,54.96
555,0.5,0.5,14.88,54.96
556,0.5,0.5,14.88,54.96
557,0.5,0.5,14.88,54.96
558,0.5,0.5,14.88,54.96
559,0.5,0.5,14.87,54.95
560,0.5,0.5,14.88,54.96
561,0.5,0.5,14.88,54.95
562,0.5,0.5,14.88,54.96
563,0.5,0.5,14.88,54.96
564,0.5,0.5,14.88,54.96
565,0.5,0.5,14.88,54.96
566,0.5,0.5,14.88,54.96
567,0.5,0.5,14.88,54.96
568,0.5,0.5,14.88,54.96
569,0.5,0.5,14.88,54.96
570,0.5,0.5,14.88,54.96
571,0.5,0.5,14.88,54.96
572,0.5,0.5,14.88,54.96
573,0.5,0.5,14.88,54.96
574,0.5,0.5,14.88,54.96
575,0.5,0.5,14.88,54.96
576,0.5,0.5,14.88,54.96
577,0.5,0.5,14.88,54.96
578,0.5,0.5,14.88,54.96
579,0.5,0.5,14.89,54.97
580,0.5,0.5,14.88,54.96
581,0.5,0.5,14.88,54.95
582,0.5,0.5,14.88,54.96
583,0.5,0.5,14.87,54.95
584,0.5,0.5,14.88,54.96
585,0.5,0.5,14.88,54.96
586,0.5,0.5,14.88,54.96
587,0.5,0.5,14.89,54.97
588,0.5,0.5,14.88,54.96
589,0.5,0.5,14.88,54.96
590,0.5,0.5,14.88,54.96
591,0.5,0.5,14.88,54.96
592,0.5,0.5,14.88,54.96
593,0.5,0.5,14.88,54.96
594,0.5,0.5,14.87,54.95
595,0.5,0.5,14.88,54.96
596,0.5,0.5,14.88,54.95
597,0.5,0.5,14.88,54.95
598,0.5,0.5,14.88,54.96
599,0.5,0.5,14.88,54.95
600,0.5,0.5,14.88,54.96
601,0.5,0.5,14.88,54.96
602,0.5,0.5,14.88,54.96
603,0.5,0.5,14.88,54.96
604,0.5,0.5,14.88,54.95
605,0.5,0.5,14.88,54.96
606,0.5,0.5,14.88,54.96
607,0.5,0.5,14.88,54.96
608,0.5,0.5,14.88,54.96
609,0.5,0.5,14.88,54.95
610,0.5,0.5,14.88,54.96
611,0.5,0.5,14.88,54.96
612,0.5,0.5,14.88,54.96
613,0.5,0.5,14.88,54.96
614,0.5,0.5,14.88,54.96
615,0.5,0.5,14.88,54.96
616,0.5,0.5,14.88,54.96
617,0.5,0.5,14.89,54.96
618,0.5,0.5,14.88,54.96
619,0.5,0.5,14.88,54.95
620,0.5,0.5,14.88,54.96
621,0.5,0.5,14.88,54.96
622,0.5,0.5,14.88,54.96
623,0.5,0.5,14.88,54.96
624,0.5,0.5,14.88,54.96
625,0.5,0.5,14.88,54.96
626,0.5,0.5,14.88,54.96
627,0.5,0.5,14.88,54.96
628,0.5,0.5,14.88,54.96
629,0.5,0.5,14.88,54.96
630,0.5,0.5,14.88,54.96
631,0.5,0.5,14.88,54.96
632,0.5,0.5,14.87,54.95
633,0.5,0.5,14.88,54.96
634,0.5,0.5,14.88,54.96
635,0.5,0.5,14.88,54.96
636,0.5,0.5,14.88,54.96
637,0.5,0.5,14.88,54.96
638,0.5,0.5,14.88,54.95
639,0.5,0.5,14.87,54.95
640,0.5,0.5,14.88,54.96
641,0.5,0.5,14.88,54.96
642,0.5,0.5,14.88,54.96
643,0.5,0.5,14.88,54.96
644,0.5,0.5,14.88,54.96
645,0.5,0.5,14.88,54.96
646,0.5,0.5,14.88,54.96
647,0.5,0.5,14.89,54.96
648,0.5,0.5,14.88,54.95
649,0.5,0.5,14.88,54.95
650,0.5,0.5,14.88,54.96
651,0.5,0.5,14.88,54.96
652,0.5,0.5,14.88,54.96
653,0.5,0.5,14.88,54.96
654,0.5,0.5,14.87,54.95
655,0.5,0.5,14.87,54.95
656,0.5,0.5,14.88,54.96
657,0.5,0.5,14.88,54.96
658,0.5,0.5,14.88,54.96
659,0.5,0.5,14.89,54.96
660,0.5,0.5,14.88,54.96
661,0.5,0.5,14.88,54.96
662,0.5,0.5,14.88,54.96
663,0.5,0.5,14.88,54.95
664,0.5,0.5,14.89,54.96
665,0.5,0.5,14.88,54.96
666,0.5,0.5,14.88,54.96
667,0.5,0.5,14.88,54.96
668,0.5,0.5,14.88,54.95
669,0.5,0.5,14.88,54.96
670,0.5,0.5,14.88,54.96
671,0.5,0.5,14.89,54.96
672,0.5,0.5,14.88,54.95
673,0.5,0.5,14.88,54.96
674,0.5,0.5,14.88,54.95
675,0.5,0.5,14.88,54.96
676,0.5,0.5,14.88,54.96
677,0.5,0.5,14.88,54.96
678,0.5,0.5,14.88,54.96
679,0.5,0.5,14.88,54.96
680,0.5,0.5,14.89,54.97
681,0.5,0.5,14.88,54.96
682,0.5,0.5,14.88,54.96
683,0.5,0.5,14.87,54.95
684,0.5,0.5,14.88,54.96
685,0.5,0.5,14.88,54.96
686,0.5,0.5,14.88,54.95
687,0.5,0.5,14.88,54.95
688,0.5,0.5,14.88,54.96
689,0.5,0.5,14.88,54.96
690,0.5,0.5,14.87,54.95
691,0.5,0.5,14.88,54.96
692,0.5,0.5,14.88,54.96
693,0.5,0.5,14.88,54.96
694,0.5,0.5,14.88,54.96
695,0.5,0.5,14.88,54.96
696,0.5,0.5,14.88,54.96
697,0.5,0.5,14.88,54.96
698,0.5,0.5,14.88,54.96
699,0.5,0.5,14.88,54.96
700,0.5,0.5,14.88,54.96
701,0.5,0.5,14.88,54.96
702,0.5,0.5,14.88,54.96
703,0.5,0.5,14.87,54.95
704,0.5,0.5,14.88,54.96
705,0.5,0.5,14.88,54.96
706,0.5,0.5,14.88,54.96
707,0.5,0.5,14.87,54.95
708,0.5,0.5,14.88,54.96
709,0.5,0.5,14.88,54.96
710,0.5,0.5,14.88,54.96
711,0.5,0.5,14.88,54.96
712,0.5,0.5,14.88,54.96
713,0.5,0.5,14.88,54.96
714,0.5,0.5,14.88,54.96
715,0.5,0.5,14.88,54.96
716,0.5,0.5,14.88,54.96
717,0.5,0.5,14.88,54.96
718,0.5,0.5,14.88,54.96
719,0.5,0.5,14.89,54.96
720,0.5,0.5,14.88,54.96
721,0.5,0.5,14.88,54.96
722,0.5,0.5,14.88,54.96
723,0.5,0.5,14.88,54.96
724,0.5,0.5,14.88,54.96
725,0.5,0.5,14.88,54.95
726,0.5,0.5,14.88,54.96
727,0.5,0.5,14.88,54.96
728,0.5,0.5,14.88,54.96
729,0.5,0.5,14.88,54.96
730,0.5,0.5,14.88,54.96
731,0.5,0.5,14.88,54.96
732,0.5,0.5,14.88,54.96
733,0.5,0.5,14.88,54.96
734,0.5,0.5,14.88,54.96
735,0.5,0.5,14.88,54.96
736,0.5,0.5,14.88,54.96
737,0.5,0.5,14.88,54.96
738,0.5,0.5,14.88,54.96
739,0.5,0.5,14.88,54.95
740,0.5,0.5,14.88,54.96
741,0.5,0.5,14.89,54.96
742,0.5,0.5,14.88,54.95
743,0.5,0.5,14.88,54.96
744,0.5,0.5,14.88,54.96
745,0.5,0.5,14.88,54.95
746,0.5,0.5,14.88,54.96
747,0.5,0.5,14.88,54.96
748,0.5,0.5,14.88,54.96
749,0.5,0.5,14.88,54.96
750,0.5,0.5,14.88,54.96
751,0.5,0.5,14.88,54.96
752,0.5,0.5,14.88,54.96
753,0.5,0.5,14.88,54.95
754,0.5,0.5,14.88,54.95
755,0.5,0.5,14.88,54.96
756,0.5,0.5,14.88,54.96
757,0.5,0.5,14.87,54.95
758,0.5,0.5,14.88,54.96
759,0.5,0.5,14.88,54.96
760,0.5,0.5,14.88,54.95
761,0.5,0.5,14.88,54.96
762,0.5,0.5,14.88,54.96
763,0.5,0.5,14.88,54.96
764,0.5,0.5,14.88,54.96
765,0.5,0.5,14.88,54.95
766,0.5,0.5,14.88,54.96
767,0.5,0.5,14.88,54.96
768,0.5,0.5,14.88,54.96
769,0.5,0.5,14.88,54.96
