Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured
296,14.88,54.96,277.97,278.64,277.54,195.3,7,35,0.01,0.01,0.88
297,14.88,54.96,278.04,278.21,278.11,194.83,7,35,0.01,0.01,0.89
298,14.89,54.96,278.7,278.05,277.72,195.1,7,35,0.01,0.01,0.88
299,14.88,54.96,278.3,277.96,278.42,194.59,7,35.01,0.01,0,0.89
300,14.88,54.96,279.08,277.92,278.32,194.99,7,35,0,0,0.88
301,14.88,54.96,276.81,278.15,279.18,194.7,7,35,0,0.01,0.88
302,14.88,54.96,278.51,277.47,278.43,195,7.01,35,0.01,0.01,0.88
303,14.88,54.96,277.63,278.6,277.96,195.08,7,35,0.01,0.01,0.88
304,14.88,54.96,277.17,278.59,278.62,194.73,7,35,0.01,0,0.88
305,14.87,54.95,277.44,278.6,278.13,195.01,7,35,0.01,0.01,0.89
306,14.88,54.96,278.42,277.93,277.59,194.49,7,35,0.01,0.01,0.88
307,14.88,54.96,278.57,278.14,278.69,195.2,7,35,0,0.01,0.89
308,14.88,54.95,277.54,278.63,278.06,194.5,7,35,0.01,0.01,0.88
309,14.88,54.96,278.85,277.37,277.48,194.76,7,35,0.01,0.01,0.88
310,14.88,54.96,277.87,277.83,278.27,195.01,6.99,35,0.01,0,0.88
311,14.88,54.96,278.31,277.52,277.64,194.8,7,35,0.01,0.01,0.88
312,14.88,54.96,278.36,278.56,278.46,194.22,7,35,0.01,0.01,0.89
313,14.88,54.96,277.88,278.6,277.22,194.65,7,35,0.01,0.01,0.88
314,14.88,54.96,277.95,277.62,278.44,194.86,7,35,0.01,0,0.89
315,14.88,54.96,277.57,277.43,278.1,194.83,7,35,0.01,0.01,0.88
316,14.89,54.95,279.02,276.74,278.4,194.56,7,35,0.01,0.01,0.88
317,14.88,54.95,278.68,278.27,277.89,195.28,7,35,0.01,0,0.89
318,14.88,54.96,277.83,277.82,277.41,194.72,7,35,0.01,0,0.89
319,14.88,54.95,277.87,277.43,278.23,195.03,7,35,0.01,0.01,0.89
320,14.88,54.96,278.34,278.47,278.01,194.76,7,35,0.02,0,0.88
321,14.88,54.96,278.47,277.57,278.92,195.04,7,35,0.01,0.01,0.89
322,14.88,54.96,278.66,277.4,277.44,195.11,7,35,0.01,0.01,0.89
323,14.88,54.96,277.97,278.19,279.11,195.12,7,35,0.01,0.01,0.89
324,14.87,54.96,277.82,277.32,278.56,194.34,7,35,0,0,0.89
325,14.88,54.96,278.51,278.7,277.83,195.15,7,35,0.01,0,0.88
326,14.88,54.96,277.73,278.48,277.98,194.93,7,35,0.01,0.01,0.88
327,14.88,54.96,278.1,277.23,277.98,195.13,7,35,0,0.01,0.89
328,14.88,54.96,277.39,277.34,277.79,195.22,7,35,0.01,0.01,0.88
329,14.88,54.95,278.01,278.54,278,195.21,7,35,0.01,0.01,0.89
